city,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
LaRochelle,Belle chambre d'hĂ´te,Private room in townhouse,35,Evelyne,301,4.97,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n301 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n301 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 shared bath',1,1,1
LaRochelle,"Bel appartement coeur de ville, au calme",Entire home,60,Sandra,39,4.95,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n203 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n203 Reviews'"", "" '\\U000f0019\\nVerified']""]",3, '1 bedroom', '2 beds', '1 bath',1,2,1
LaRochelle,studio entre le vieux port et le marchĂ©,Entire home,49,JĂ©rĂ´me & Malika,194,4.66,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n194 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n194 Reviews']""]",2, '1 bedroom', '1 bed', '1 bath',1,1,1
LaRochelle,Suite indĂ©pendante avec vue sur piscine,Private room in bed and breakfast,40,Bruce,114,4.91,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n114 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n114 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,Bateau hyper centre La Rochelle (PRINCESS),Entire home,39,Ubblo,224,4.65,"['2 guests', '1 bedroom', '2 beds', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" 'Half-bath'"", "" '\\U000f0004\\n859 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '2 beds', 'Half-bath',1,2,0.5
LaRochelle,Maisonette proche hyper centre avec parking,Entire home,38,Anne Jessica,60,4.53,"['2 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n60 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '0 beds'"", "" '1 bath'"", "" '\\U000f0004\\n60 Reviews']""]",2, '1 bedroom', '0 beds', '1 bath',1,0,1
LaRochelle,Chambre dans quartier tranquille,Private room in townhouse,27,StĂ©phanie,45,4.93,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n141 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n141 Reviews'"", "" '\\U000f0019\\nVerified']""]",1, '1 bedroom', '1 bed', '1 shared bath',1,1,1
LaRochelle,Chambre la Rochelle (Lagord) avec petit dĂ©jeuner.,Private room in house,45,Evelyne,136,4.94,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n150 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n150 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,Beau 2 piĂ¨ces avec terrasse et garage + vĂ©los,Entire home,60,Sandra,164,4.9,"['3 guests', '1 bedroom', '2 beds', '1.5 baths', '\U000f0004\n203 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1.5 baths'"", "" '\\U000f0004\\n203 Reviews'"", "" '\\U000f0019\\nVerified']""]",3, '1 bedroom', '2 beds', '1.5 baths',1,2,1.5
LaRochelle,Chambre privĂ©e La Rochelle centre,Private room in apartment,35,Laurent Et KĂ©vin,73,4.5,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n73 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n73 Reviews']""]",2, '1 bedroom', '1 bed', '1 shared bath',1,1,1
LaRochelle,Chambre/sdb privĂ©e chez l'habitant centre ville LR,Private room in townhouse,38,AlizĂ©,162,4.83,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n162 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n162 Reviews'"", "" '\\U000f0019\\nVerified']""]",4, '1 bedroom', '2 beds', '1 private bath',1,2,1
LaRochelle,Appartement La Rochelle Vieux Port ClassĂ© 2*,Entire home,45,Laurent,78,4.74,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n415 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n415 Reviews'"", "" '\\U000f0019\\nVerified']""]",3, '1 bedroom', '1 bed', '1 bath',1,1,1
LaRochelle,Chambre de charme en centre ville,Private room in townhouse,40,Sylvie,425,4.57,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n425 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n425 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 shared bath',1,1,1
LaRochelle,"Maison Ă  La Rochelle, vieux port et aquarium Ă  2km",Entire home,65,Adeline,407,4.48,"['5 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n407 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n407 Reviews'"", "" '\\U000f0019\\nVerified']""]",5, '1 bedroom', '3 beds', '1 bath',1,3,1
LaRochelle,Appartement de charme La Rochelle centre (65m2),Entire home,55,Charles,47,4.19,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n300 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '2 baths'"", "" '\\U000f0004\\n300 Reviews'"", "" '\\U000f0019\\nVerified']""]",4, '2 bedrooms', '2 beds', '2 baths',2,2,2
LaRochelle,Appartement hyper centre dans un lieu historique,Entire home,50,Mathieu,241,4.87,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n241 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n241 Reviews'"", "" '\\U000f0019\\nVerified']""]",3, '1 bedroom', '2 beds', '1 bath',1,2,1
