Belle chambre d'hôte,Private room in townhouse,€35,Evelyne,(301 reviews),4.97,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n301 Reviews', '\U000f0019\nVerified']"
"Bel appartement coeur de ville, au calme",Entire home,€60,Sandra,(39 reviews),4.95,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n203 Reviews', '\U000f0019\nVerified']"
studio entre le vieux port et le marché,Entire home,€49,Jérôme & Malika,(194 reviews),4.66,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n194 Reviews']"
Suite indépendante avec vue sur piscine,Private room in bed and breakfast,€40,Bruce,(114 reviews),4.91,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n114 Reviews', '\U000f0019\nVerified']"
Bateau hyper centre La Rochelle (PRINCESS),Entire home,€39,Ubblo,(224 reviews),4.65,"['2 guests', '1 bedroom', '2 beds', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']"
Maisonette proche hyper centre avec parking,Entire home,€38,Anne Jessica,(60 reviews),4.53,"['2 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n60 Reviews']"
"Studio 26m2 avec vue sur mer, proche centre ville",Entire home,€28,Sami,,,"['2 guests', '1 bedroom', '1 bed', '1 bath']"
Chambre dans quartier tranquille,Private room in townhouse,€27,Stéphanie,(45 reviews),4.93,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n141 Reviews', '\U000f0019\nVerified']"
Chambre la Rochelle (Lagord) avec petit déjeuner.,Private room in house,€45,Evelyne,(136 reviews),4.94,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n150 Reviews', '\U000f0019\nVerified']"
Beau 2 pièces avec terrasse et garage + vélos,Entire home,€60,Sandra,(164 reviews),4.9,"['3 guests', '1 bedroom', '2 beds', '1.5 baths', '\U000f0004\n203 Reviews', '\U000f0019\nVerified']"
Chambre privée La Rochelle centre,Private room in apartment,€35,Laurent Et Kévin,(73 reviews),4.5,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n73 Reviews']"
Chambre/sdb privée chez l'habitant centre ville LR,Private room in townhouse,€38,Alizé,(162 reviews),4.83,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n162 Reviews', '\U000f0019\nVerified']"
Appartement La Rochelle Vieux Port Classé 2*,Entire home,€45,Laurent,(78 reviews),4.74,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n415 Reviews', '\U000f0019\nVerified']"
Chambre de charme en centre ville,Private room in townhouse,€40,Sylvie,(425 reviews),4.57,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n425 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
"Maison à La Rochelle, vieux port et aquarium à 2km",Entire home,€65,Adeline,(407 reviews),4.48,"['5 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n407 Reviews', '\U000f0019\nVerified']"
Appartement de charme La Rochelle centre (65m2),Entire home,€55,Charles,(47 reviews),4.19,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n300 Reviews', '\U000f0019\nVerified']"
Appartement hyper centre dans un lieu historique,Entire home,€50,Mathieu,(241 reviews),4.87,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n241 Reviews', '\U000f0019\nVerified']"
La Rochelle - Chambre indépendante&petit dejeuner,Private room in townhouse,€48,Vincent & Céline,(24 reviews),4.92,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n24 Reviews', '\U000f0019\nVerified']"
Charmant appartement hyper-centre historique,Entire home,€75,Véronique,(18 reviews),4.67,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']"
Agréable T2 Les Minimes La Rochelle parking,Entire home,€52,Blanche,(53 reviews),4.52,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n78 Reviews']"
Appartement on the beach for 4 to 6 persons,Entire home,€100,Christina,(291 reviews),4.76,"['6 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n291 Reviews', '\U000f0019\nVerified']"
Agréable T2 Les Minimes La Rochelle parking,Entire home,€52,Blanche,(53 reviews),4.52,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n78 Reviews']"
APPARTEMENT *** TERRASSE - CENTRE HISTORIQUE,Entire home,€59,Xavier,(26 reviews),4.69,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n76 Reviews', '\U000f0019\nVerified']"
"Maison cosy, à deux pas du port et de l'aquarium",Entire home,€110,Valentine,(100 reviews),4.38,"['6 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n266 Reviews', '\U000f0019\nVerified']"
APPARTEMENT *** BOHEME CHIC - CENTRE HISTORIQUE,Entire home,€59,Xavier,,,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n76 Reviews', '\U000f0019\nVerified']"
Escale La Rochelle - Chambre privée indépendante,Private room in house,€55,Delphine,(214 reviews),4.75,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n219 Reviews', '\U000f0019\nVerified']"
Chambre au calme proche de la mer,Private room in house,€44,Annie,(289 reviews),4.94,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n289 Reviews', '\U000f0019\nVerified']"
chambre independante,Entire home,€32,Josiane,(78 reviews),4.56,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n105 Reviews', '\U000f0019\nVerified']"
Chambre d'hôtes proche La Rochelle THE LODGE 17138,Entire home,€62,Nathalie Et Yannick,(71 reviews),5,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n71 Reviews', '\U000f0019\nVerified']"
