Spacious studio near Bastille,Entire home,€53,Alice Et Issam,(176 reviews),3.88,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n201 Reviews', '\U000f0019\nVerified']"
Two rooms 45 m2 with terrace.,Entire home,€79,Muriel,(331 reviews),4.82,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n363 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
"Espace partagé, Shared space",Shared room in apartment,€17,Jonathan,(389 reviews),4.53,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n389 Reviews', '\U000f0019\nVerified']"
Family Room near Palais Royal & Louvre Museum,Room in boutique hotel,€131,Normandy Hôtel,,,"['4 guests', '2 bedrooms', '2 beds', '2 shared baths', '\U000f0004\n7 Reviews']"
Jolie chambre mansardée,Private room in apartment,€35,Thierry,(146 reviews),4.7,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n146 Reviews', '\U000f0019\nVerified']"
Amazing 4 Star**** Room PARIS near Eiffel Tower,Private room in apartment,,Roxane,(486 reviews),4.74,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n486 Reviews', '\U000f0019\nVerified']"
Cozy apartment in Central Paris,Entire home,€92,Pelis,(22 reviews),4.55,"['3 guests', '1 bedroom', '2 beds', '1.5 baths', '\U000f0004\n22 Reviews', '\U000f0019\nVerified']"
Joli studio confortable proche de Porte d’Italie,Entire home,€26,Estelle,(5 reviews),5,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n10 Reviews', '\U000f0019\nVerified']"
Bedroom in the Haut Marais,Private room in apartment,€59,India,(184 reviews),4.87,"['2 guests', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n209 Reviews', '\U000f0019\nVerified']"
"Coeur de Paris ,Marais, Chatelet",Entire home,€55,Cynthia,,,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n3,550 Reviews', '\U000f0019\nVerified']"
