,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
0,Spacious studio near Bastille,Entire home,53.0,Alice Et Issam,176,3.88,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n201 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" 'Studio'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n201 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, 'Studio', '1 bed', '1 bath',0.5,1.0,1.0
1,Two rooms 45 m2 with terrace.,Entire home,79.0,Muriel,331,4.82,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n363 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n363 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '3 beds', '1 bath',1.0,3.0,1.0
2,"Espace partagé, Shared space",Shared room in apartment,17.0,Jonathan,389,4.53,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n389 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n389 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
4,Jolie chambre mansardée,Private room in apartment,35.0,Thierry,146,4.7,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n146 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n146 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
6,Cozy apartment in Central Paris,Entire home,92.0,Pelis,22,4.55,"['3 guests', '1 bedroom', '2 beds', '1.5 baths', '\U000f0004\n22 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1.5 baths'"", "" '\\U000f0004\\n22 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1.5 baths',1.0,2.0,1.5
7,Joli studio confortable proche de Porte d’Italie,Entire home,26.0,Estelle,5,5.0,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n10 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" 'Studio'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n10 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, 'Studio', '1 bed', '1 bath',0.5,1.0,1.0
8,Bedroom in the Haut Marais,Private room in apartment,59.0,India,184,4.87,"['2 guests', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n209 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 shared baths'"", "" '\\U000f0004\\n209 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1.5 shared baths',1.0,1.0,1.5
10,Parisian apartment: 10 min walk to Eiffel tower,Entire home,110.0,Mario,11,4.9,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n90 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n90 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
12,70m2 appartment - 10 minutes to Paris central,Entire home,109.0,Ha Phuong,96,4.78,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n98 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n98 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
13,"Charming 1900's Parisian Duplex, 3 bedrooms",Entire home,129.0,Alejandra,237,4.75,"['6 guests', '3 bedrooms', '5 beds', '1.5 baths', '\U000f0004\n529 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '3 bedrooms'"", "" '5 beds'"", "" '1.5 baths'"", "" '\\U000f0004\\n529 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '3 bedrooms', '5 beds', '1.5 baths',3.0,5.0,1.5
14,"Quiet,stylish, safe, cozy apartment with elevator",Entire home,150.0,Linda&Min,3,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n36 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n36 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
15,❤️Amazing Loft - Between Bastille & Gare de Lyon,Entire home,300.0,Raphael,33,4.73,"['8 guests', '4 bedrooms', '4 beds', '2 baths', '\U000f0004\n451 Reviews', '\U000f1101\n4 References', '\U000f0019\nVerified']","[""['8 guests'"", "" '4 bedrooms'"", "" '4 beds'"", "" '2 baths'"", "" '\\U000f0004\\n451 Reviews'"", "" '\\U000f1101\\n4 References'"", "" '\\U000f0019\\nVerified']""]",8.0, '4 bedrooms', '4 beds', '2 baths',4.0,4.0,2.0
17,"Quiet,stylish, safe, cozy apartment with elevator",Entire home,150.0,Linda&Min,3,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n36 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n36 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
22,♥ Family apartment near La Défense - 10P,Entire home,330.0,Charles,53,4.83,"['10 guests', '4 bedrooms', '5 beds', '2 baths', '\U000f0004\n1,001 Reviews', '\U000f0019\nVerified']","[""['10 guests'"", "" '4 bedrooms'"", "" '5 beds'"", "" '2 baths'"", "" '\\U000f0004\\n1"", ""001 Reviews'"", "" '\\U000f0019\\nVerified']""]",10.0, '4 bedrooms', '5 beds', '2 baths',4.0,5.0,2.0
25,A deux Pas de la Cathédrale Notre-Dame,Entire home,500.0,Mathilde,121,4.62,"['10 guests', '3 bedrooms', '5 beds', '2 baths', '\U000f0004\n3,217 Reviews', '\U000f0019\nVerified']","[""['10 guests'"", "" '3 bedrooms'"", "" '5 beds'"", "" '2 baths'"", "" '\\U000f0004\\n3"", ""217 Reviews'"", "" '\\U000f0019\\nVerified']""]",10.0, '3 bedrooms', '5 beds', '2 baths',3.0,5.0,2.0
26,Appartement de charme,Entire home,45.0,Driss,276,3.91,"['2 guests', 'Studio', '0 beds', '1 bath', '\U000f0004\n276 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" 'Studio'"", "" '0 beds'"", "" '1 bath'"", "" '\\U000f0004\\n276 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, 'Studio', '0 beds', '1 bath',0.5,0.0,1.0
27,Lovely Studio Pigalle/Montmartre,Entire home,90.0,Guepard,353,4.82,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n508 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n508 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, 'Studio', '2 beds', '1 bath',0.5,2.0,1.0
28,Hotel Boronali *** - Double room in Montmartre,Room in boutique hotel,99.0,Arthur,297,4.46,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n493 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n493 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
29,Vivre sur l’eau au cœur de paris,Private room in boat,100.0,Isabelle Et Aymeric,121,4.87,"['4 guests', '1 bedroom', '3 beds', '1 private bath', '\U000f0004\n121 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n121 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '3 beds', '1 private bath',1.0,3.0,1.0
30,Heart of Montmartre Charming Design House,Entire home,169.0,Simon,87,4.77,"['5 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n87 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\\U000f0004\\n87 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '2 bedrooms', '3 beds', '2 baths',2.0,3.0,2.0
